representation_id,method,k,seed,silhouette,calinski_harabasz,davies_bouldin
R-EUCLID-standard,k-means,3,42,0.17060671632224822,15308.416026377978,1.9058052390461553
R-EUCLID-standard,k-means,3,123,0.17139153123457235,15308.455507327017,1.904016009556586
R-EUCLID-standard,k-means,3,456,0.17149673411735294,15308.426342303712,1.905592080721133
R-EUCLID-standard,k-means,3,789,0.128745511330427,14996.506106156083,1.8502948106648678
R-EUCLID-standard,k-means,3,999,0.1296900292370821,15009.255995815769,1.8920886968261363
R-EUCLID-standard,k-means,4,42,0.13051868365319336,14775.68980580528,1.9561815757667302
R-EUCLID-standard,k-means,4,123,0.15898312757648106,15824.960253504958,1.621738837102388
R-EUCLID-standard,k-means,4,456,0.15805224292210718,15824.951697019691,1.6223364765702426
R-EUCLID-standard,k-means,4,789,0.15893512710042765,15824.949424069664,1.6225238467301506
R-EUCLID-standard,k-means,4,999,0.13161140568981156,14775.689873309286,1.9561762189410083
R-EUCLID-standard,k-means,5,42,0.15876858639876762,15819.283508570588,1.6757298255285906
R-EUCLID-standard,k-means,5,123,0.15902631212012844,15819.268166725646,1.6753660681207379
R-EUCLID-standard,k-means,5,456,0.15750759582784227,15819.283508570588,1.6757298255285906
R-EUCLID-standard,k-means,5,789,0.15904514459306424,15819.28138582758,1.675875863451953
R-EUCLID-standard,k-means,5,999,0.1566594102848709,15819.281239305807,1.675826758962884
R-EUCLID-standard,k-means,6,42,0.13917875590344206,15378.704620154964,1.7596599973638638
R-EUCLID-standard,k-means,6,123,0.1383944803107251,15378.690913419496,1.7596270229109827
R-EUCLID-standard,k-means,6,456,0.1400639144956606,15378.696177488959,1.7595627616118692
R-EUCLID-standard,k-means,6,789,0.1408597165109694,15378.704635251459,1.7595600938486635
R-EUCLID-standard,k-means,6,999,0.1311031153550417,14755.97536818686,1.8103104315983647
R-EUCLID-standard,k-means,7,42,0.1362099689276452,14717.766108042553,1.7771604693530674
R-EUCLID-standard,k-means,7,123,0.13738157068810894,14717.766807831638,1.7772105742604385
R-EUCLID-standard,k-means,7,456,0.13764145918437168,14717.77865244997,1.777401972355715
R-EUCLID-standard,k-means,7,789,0.13599133541688896,14717.768170363137,1.7771861736670207
R-EUCLID-standard,k-means,7,999,0.13530075649496995,14717.753176192318,1.7771507327609386
R-EUCLID-standard,k-means,8,42,0.15162733458091734,14036.948751733322,1.702868874894251
R-EUCLID-standard,k-means,8,123,0.1528329098377091,14036.946133297892,1.7028706473089505
R-EUCLID-standard,k-means,8,456,0.15298339626795993,14036.946745758263,1.702865708740654
R-EUCLID-standard,k-means,8,789,0.1525832149320265,14036.95172286615,1.702902844293365
R-EUCLID-standard,k-means,8,999,0.15302788320797422,14036.951921332555,1.702895169684991
R-EUCLID-standard,ik-means,14,deterministic,0.13783624181132614,10029.014438897637,1.8357897616093197
R-EUCLID-robust,k-means,3,42,0.14268681352016163,18503.337519257308,2.192645542780801
R-EUCLID-robust,k-means,3,123,0.14070473186613786,18503.350174414718,2.192994973627546
R-EUCLID-robust,k-means,3,456,0.1413438123337328,18503.3296498156,2.1941858257447335
R-EUCLID-robust,k-means,3,789,0.14077690359244044,18503.353078466545,2.1927182744731524
R-EUCLID-robust,k-means,3,999,0.14130364084705901,18503.34375440438,2.1932183229156426
R-EUCLID-robust,k-means,4,42,0.13290313874267648,17201.609424387683,2.080758351591098
R-EUCLID-robust,k-means,4,123,0.1346351559158034,17201.608929088936,2.0807436891287816
R-EUCLID-robust,k-means,4,456,0.1328762771339305,17201.61265954012,2.080715117701637
R-EUCLID-robust,k-means,4,789,0.13243564479464603,17201.6059223914,2.0807447166619832
R-EUCLID-robust,k-means,4,999,0.13288287388879413,17201.611057293307,2.080764086056149
R-EUCLID-robust,k-means,5,42,0.1509905649616006,15474.795916547584,1.9557265189162283
R-EUCLID-robust,k-means,5,123,0.15245295893720098,15474.795121272262,1.9557610607984515
R-EUCLID-robust,k-means,5,456,0.15119667273357787,15474.795039787015,1.955699966230623
R-EUCLID-robust,k-means,5,789,0.15111066171185153,15474.792655831692,1.9556988810428588
R-EUCLID-robust,k-means,5,999,0.15079048925183633,15474.795161669806,1.9556973499589834
R-EUCLID-robust,k-means,6,42,0.13822239584984106,13773.037775111789,2.088168584349905
R-EUCLID-robust,k-means,6,123,0.15233390080790496,14493.36897960496,1.861636143175965
R-EUCLID-robust,k-means,6,456,0.15186875289753668,14493.368164788544,1.8616550513525543
R-EUCLID-robust,k-means,6,789,0.1525867930096634,14493.368534277777,1.861631716944926
R-EUCLID-robust,k-means,6,999,0.1524573322784038,14493.368534277777,1.861631716944926
R-EUCLID-robust,k-means,7,42,0.13673329380499852,13261.057613688994,2.016387028102445
R-EUCLID-robust,k-means,7,123,0.1370713398551271,13265.706220861777,2.0030453089087
R-EUCLID-robust,k-means,7,456,0.136721456192697,13261.05988660855,2.016615181623424
R-EUCLID-robust,k-means,7,789,0.13623877618884653,13261.059086693514,2.0164979026800567
R-EUCLID-robust,k-means,7,999,0.1380390746736161,13261.068611305353,2.016768196575503
R-EUCLID-robust,k-means,8,42,0.13973755651719466,12320.530838279723,1.9942700599832452
R-EUCLID-robust,k-means,8,123,0.14082205516809035,12320.530509137103,1.9942577016824876
R-EUCLID-robust,k-means,8,456,0.13130542650405955,12220.97300778086,1.9857256972780912
R-EUCLID-robust,k-means,8,789,0.1341970315009748,12238.272286878917,2.0582856890263055
R-EUCLID-robust,k-means,8,999,0.124871434457942,12156.817114189962,2.0293920327355797
R-EUCLID-robust,ik-means,11,deterministic,0.13155265463618426,9510.729082241041,2.026705071353886
